bone_id,group_type,group_order,period_class,sentence_simple,theme,detail_json
H25307,InscriptionSentence,2,出二,丙午未释貞王賓匸丙彡亡未释在正月,ritual,"{""verb_type"": ""strong"", ""verbs"": [""彡""], ""target_type"": ""other""}"
H25323,InscriptionSentence,1,出二,乙卯卜貞王賓歲亡尤,ritual,"{""verb_type"": ""weak"", ""verbs"": [""歲""], ""target_type"": ""other""}"
H25355,InscriptionSentence,0,出二,未释未释卜未释貞王未释歲未释,ritual,"{""verb_type"": ""weak"", ""verbs"": [""歲""], ""target_type"": ""other""}"
H25364,InscriptionSentence,0,出二,辛丑未释未释貞佑徝未释,ritual,"{""verb_type"": ""weak"", ""verbs"": [""佑""], ""target_type"": ""other""}"
H25367,InscriptionSentence,0,出二,未释貞未释匕庚歲牢𫩀亡未释在三月,ritual,"{""verb_type"": ""weak"", ""verbs"": [""歲""], ""target_type"": ""other""}"
H25454,InscriptionSentence,0,出二,甲寅卜中貞翌埶卒未释,spatial,"{""directions"": [""中""]}"
H25459,InscriptionSentence,2,出二,未释告,ritual,"{""verb_type"": ""weak"", ""verbs"": [""告""], ""target_type"": ""other""}"
H25511,InscriptionSentence,0,出二,未释未释未释行未释翌乙巳未释雨,rain,"{""keyword"": ""雨""}"
H25520,InscriptionSentence,0,出二,庚御未释未释貞王賓月祼祸,ritual,"{""verb_type"": ""strong"", ""verbs"": [""御""], ""target_type"": ""other""}"
H25541,InscriptionSentence,0,出二,未释貞未释大甲未释,ritual,"{""verb_type"": ""none"", ""target_type"": ""ancestor"", ""targets"": [""大甲""]}"
H25615,InscriptionSentence,0,出二,丙寅未释未释貞未释未释佑歲未释,ritual,"{""verb_type"": ""weak"", ""verbs"": [""佑"", ""歲""], ""target_type"": ""other""}"
H25615,InscriptionSentence,1,出二,貞先歲,ritual,"{""verb_type"": ""weak"", ""verbs"": [""歲""], ""target_type"": ""other""}"
H25628,InscriptionSentence,0,出一,丁未卜出貞祼告未释于未释十二月,ritual,"{""verb_type"": ""weak"", ""verbs"": [""告""], ""target_type"": ""other""}"
H25630,InscriptionSentence,0,未分期,未释告祼未释,ritual,"{""verb_type"": ""weak"", ""verbs"": [""告""], ""target_type"": ""other""}"
H25634,InscriptionSentence,2,出二,丙申卜未释未释未释雨,rain,"{""keyword"": ""雨""}"
H25640,InscriptionSentence,0,出二,未释寅卜旅未释王賓未释禱未释亡尤,ritual,"{""verb_type"": ""strong"", ""verbs"": [""禱""], ""target_type"": ""other""}"
H25644,InscriptionSentence,0,出二,未释未释卜尹未释賓祭𫩀亡未释,ritual,"{""verb_type"": ""strong"", ""verbs"": [""祭""], ""target_type"": ""other""}"
H25645,InscriptionSentence,0,出二,未释未释卜旅未释王賓未释祭𫩀未释尤在九月,ritual,"{""verb_type"": ""strong"", ""verbs"": [""祭""], ""target_type"": ""other""}"
H25647,InscriptionSentence,0,出二,未释未释未释行未释王賓祭𫩀未释在十一月,ritual,"{""verb_type"": ""strong"", ""verbs"": [""祭""], ""target_type"": ""other""}"
H25648,InscriptionSentence,0,出二,未释未释卜貞王賓祭𫩀未释尤,ritual,"{""verb_type"": ""strong"", ""verbs"": [""祭""], ""target_type"": ""other""}"
H25649,InscriptionSentence,0,出二,未释未释卜未释貞王賓祭𫩀亡尤,ritual,"{""verb_type"": ""strong"", ""verbs"": [""祭""], ""target_type"": ""other""}"
H25650,InscriptionSentence,0,出二,乙卯未释旅貞王賓祭亡祸,ritual,"{""verb_type"": ""strong"", ""verbs"": [""祭""], ""target_type"": ""other""}"
H25651,InscriptionSentence,0,出二,未释未释卜旅未释賓祭未释未释,ritual,"{""verb_type"": ""strong"", ""verbs"": [""祭""], ""target_type"": ""other""}"
H25651,InscriptionSentence,1,出二,未释祭未释,ritual,"{""verb_type"": ""strong"", ""verbs"": [""祭""], ""target_type"": ""other""}"
H25652,InscriptionSentence,0,出二,己酉卜行貞王賓未释未释祭亡祸,ritual,"{""verb_type"": ""strong"", ""verbs"": [""祭""], ""target_type"": ""other""}"
H25652,InscriptionSentence,2,出二,未释未释未释貞未释祖辛𫩀未释,ritual,"{""verb_type"": ""none"", ""target_type"": ""ancestor"", ""targets"": [""祖辛""]}"
H25653,InscriptionSentence,1,出二,未释未释卜未释貞王未释祭未释祸,ritual,"{""verb_type"": ""strong"", ""verbs"": [""祭""], ""target_type"": ""other""}"
H25654,InscriptionSentence,0,出二,未释未释卜旅未释賓未释祭未释未释,ritual,"{""verb_type"": ""strong"", ""verbs"": [""祭""], ""target_type"": ""other""}"
H25712,InscriptionSentence,1,出二,未释未释卜行貞王賓待祭亡祸,ritual,"{""verb_type"": ""strong"", ""verbs"": [""祭""], ""target_type"": ""other""}"
H25715,InscriptionSentence,0,出二,壬御卜未释貞王未释待亡未释,ritual,"{""verb_type"": ""strong"", ""verbs"": [""御""], ""target_type"": ""other""}"
